"state_name","io_sector","employment","total_wages","avg_wage"
"Alabama","111CA",5284,294244491,55685.9369795609
"Alabama","113FF",6364,349560701,54927.828566939
"Alabama","211",373,59086799,158409.648793566
"Alabama","212",4538,454453100,100143.918025562
"Alabama","213",859,66791205,77754.6041909197
"Alabama","22",13039,1689165325,129547.152772452
"Alabama","23",101300,7011335440,69213.577887463
"Alabama","311FT",34927,1743417142,49916.0289174564
"Alabama","313TT",6859,338017473,49280.8679107742
"Alabama","315AL",2028,73107999,36049.3091715976
"Alabama","321",18791,1134209324,60359.1785429195
"Alabama","322",11144,1022883748,91787.8452979182
"Alabama","323",3277,152608278,46569.5080866646
"Alabama","324",2207,223976411,101484.554145899
"Alabama","325",11758,1141368120,97071.6210239837
"Alabama","326",18227,1102449811,60484.4357820815
"Alabama","327",8604,606070263,70440.5233612273
"Alabama","331",18076,1857153839,102741.41618721
"Alabama","332",26977,1792952312,66462.257182044
"Alabama","333",10638,753463251,70827.5287648054
"Alabama","334",7592,619442701,81591.5043466807
"Alabama","335",6853,463999246,67707.4633007442
"Alabama","337",9129,445491605,48799.6062000219
"Alabama","339",7179,425843344,59317.9194873938
"Alabama","42",78667,6687449207,85009.5873364943
"Alabama","441",33598,2116308545,62989.1227156378
"Alabama","445",36354,1012557596,27852.7148594378
"Alabama","452",61073,1766902358,28930.9900938221
"Alabama","481",706,50650770,71743.3002832861
"Alabama","482",0,0,NA
"Alabama","483",492,53797122,109343.743902439
"Alabama","484",26934,1722453095,63950.883455855
"Alabama","485",1968,71805364,36486.4654471545
"Alabama","486",598,74532597,124636.449832776
"Alabama","487OS",19933,1132888379,56834.8155822004
"Alabama","493",24753,1149962427,46457.4971518604
"Alabama","4A0",107871,3813059935,35348.3321281902
"Alabama","512",1806,68115143,37716.0260243632
"Alabama","513",7576,618535278,81644.0440865892
"Alabama","514",4565,445273662,97540.7802847755
"Alabama","521CI",38312,3242248031,84627.4804499896
"Alabama","523",4954,822558006,166039.161485668
"Alabama","524",31393,2910159908,92700.9176568025
