"State","711AS","713","721","722"
"New Hampshire",3.9475,3.3413,3.4775,2.8123
"Nevada",4.674,3.0537,3.081,2.741
"Florida",4.2926,2.9911,3.8411,3.0019
"Indiana",3.4261,2.9052,2.5112,2.4586
"Illinois",4.0757,2.9029,3.5008,2.6861
"Colorado",3.895,2.8928,2.9777,2.7308
"Montana",3.1006,2.839,2.6959,2.6792
"Hawaii",3.066,2.8325,3.7622,2.905
"Ohio",3.0457,2.7541,2.6809,2.5179
"Maine",3.5565,2.7498,3.1607,2.9627
"Maryland",3.353,2.7347,3.5702,2.6937
"Wyoming",2.4916,2.7304,2.4144,2.4094
"Vermont",3.6119,2.7134,3.2082,2.8805
"Pennsylvania",4.5607,2.7115,3.0557,2.7961
"Arizona",3.9032,2.6857,3.0536,2.8784
"Mississippi",3.1377,2.6808,2.9539,2.5975
"California",4.5575,2.661,2.9404,2.8104
"New Mexico",3.1828,2.6256,2.5528,2.6607
"Massachusetts",3.5959,2.6145,3.2663,2.6699
"Michigan",3.7957,2.5972,3.5844,2.6265
"Oklahoma",3.2756,2.5967,2.6402,2.6382
"Missouri",3.8712,2.5907,3.1852,2.6387
"Kansas",2.2347,2.5843,3.132,2.5325
"Alaska",2.513,2.5832,2.5119,2.6449
"Rhode Island",3.2275,2.5682,3.5721,2.6904
"Louisiana",3.976,2.5525,2.9542,2.5295
"Texas",4.0971,2.5249,2.8789,2.6235
"Oregon",3.4937,2.5044,2.6139,2.7396
"Minnesota",3.1592,2.5034,2.9087,2.6248
"Washington",3.0215,2.5027,3.2147,2.6765
"New Jersey",4.1166,2.4968,2.9102,2.5895
"Connecticut",3.4031,2.4914,3.574,2.6799
"Iowa",2.6136,2.4624,2.7393,2.4375
"Idaho",2.6129,2.4586,2.6848,2.5931
"New York",4.2614,2.4357,3.8234,2.6364
"South Carolina",2.7389,2.409,3.3939,2.64
"West Virginia",3.1573,2.3791,2.8671,2.5737
"Georgia",3.0696,2.3755,2.9874,2.5952
"Delaware",2.1869,2.3688,3.0283,2.5186
"Tennessee",5.5374,2.3568,3.034,2.5987
"South Dakota",2.2849,2.3471,2.8482,2.4905
"Arkansas",2.8006,2.3416,2.7957,2.6189
"Utah",2.7977,2.3146,2.8558,2.4285
"Alabama",2.6599,2.3051,2.7363,2.6719
"North Carolina",3.5508,2.2963,2.7675,2.6576
"Wisconsin",3.0173,2.2868,2.5126,2.538
"Kentucky",2.4715,2.2607,2.8758,2.5933
"Nebraska",2.3965,2.2451,2.6333,2.5083
"Virginia",3.5502,2.2377,2.9457,2.6661
"North Dakota",2.0345,2.1151,2.9134,2.4146
