State,Abbrev,Sector,Sector_Name,Employment,Total_Wages_M,Avg_Wage,Industry_Output_M,VA_M,Direct_VA_Coef,Direct_Wage_Coef,Type_I_Output,Type_II_Output,Type_I_VA,Type_II_VA,Type_I_Wage,Type_II_Wage,Emp_Coef,Indirect_Emp_Coef,Induced_Emp_Coef,Direct_Tax_Coef,Type_I_Tax,Type_II_Tax
Alabama,AL,ONLINE,Online Gambling (iGaming & Sports Betting),17170,301.1546,17539.5828,896.51,470.8914,0.47268,0.12606,1.24225,1.90746,0.58675,0.98013,0.17046,0.32534,4.03052,2.47519,2.19114,0.052264,0.059095,0.091243
Alaska,AK,ONLINE,Online Gambling (iGaming & Sports Betting),3922,85.6232,21831.525,403.44,211.9067,0.47268,0.12606,1.253045,1.751995,0.588705,0.881955,0.17038,0.28022,2.04585,2.06752,1.84067,0.052264,0.059481,0.084556
Arizona,AZ,ONLINE,Online Gambling (iGaming & Sports Betting),31874,711.0404,22307.8492,2529.93,1328.8445,0.47268,0.12606,1.254405,2.01439,0.59491,1.046515,0.1739,0.34654,2.65139,2.23183,2.09638,0.052264,0.059674,0.098509
Arkansas,AR,ONLINE,Online Gambling (iGaming & Sports Betting),7852,145.7244,18558.8945,559.67,293.9664,0.47268,0.12606,1.25364,1.8194,0.59134,0.92437,0.17302,0.30038,2.95253,2.4877,2.33202,0.052264,0.059352,0.087321
California,CA,ONLINE,Online Gambling (iGaming & Sports Betting),226794,6275.7937,27671.7802,23533.56,12360.9911,0.47268,0.12606,1.30141,1.966025,0.614545,1.000275,0.18214,0.33286,2.02809,1.58787,1.57819,0.052264,0.06006,0.089828
Colorado,CO,ONLINE,Online Gambling (iGaming & Sports Betting),46615,1153.6875,24749.2761,5581.91,2931.8955,0.47268,0.12606,1.266305,1.91715,0.59882,0.985315,0.1763,0.32198,1.75748,1.93352,1.84039,0.052264,0.059352,0.091372
Connecticut,CT,ONLINE,Online Gambling (iGaming & Sports Betting),21566,551.2708,25562.0317,2107.17,1106.79,0.47268,0.12606,1.247265,1.800105,0.59134,0.918845,0.17286,0.30502,2.15386,1.70849,1.63739,0.052264,0.059416,0.084813
Delaware,DE,ONLINE,Online Gambling (iGaming & Sports Betting),8243,178.098,21605.9657,547.47,287.5584,0.47268,0.12606,1.22644,1.708135,0.579695,0.86742,0.16862,0.2811,3.16862,2.26826,2.20929,0.052264,0.058002,0.08102
Florida,FL,ONLINE,Online Gambling (iGaming & Sports Betting),190339,5871.6805,30848.5411,17812.54,9356.0281,0.47268,0.12606,1.257295,2.17725,0.59678,1.149365,0.1755,0.3831,2.24878,2.1864,2.0507,0.052264,0.05961,0.10706
Georgia,GA,ONLINE,Online Gambling (iGaming & Sports Betting),40086,863.6251,21544.3083,2869.49,1507.1982,0.47268,0.12606,1.253045,1.8381,0.59406,0.940095,0.17406,0.3087,2.93991,2.068,2.10328,0.052264,0.059352,0.088221
Hawaii,HI,ONLINE,Online Gambling (iGaming & Sports Betting),8927,268.0414,30025.9188,1043.08,547.8773,0.47268,0.12606,1.251175,1.8874,0.592955,0.97758,0.17326,0.31486,1.80108,1.96385,1.5899,0.052264,0.05961,0.092464
Idaho,ID,ONLINE,Online Gambling (iGaming & Sports Betting),10648,209.9553,19717.8157,833.14,437.6064,0.47268,0.12606,1.24633,1.824075,0.588195,0.930575,0.1715,0.29518,2.68964,2.70609,2.30862,0.052264,0.059095,0.089957
Illinois,IL,ONLINE,Online Gambling (iGaming & Sports Betting),68263,1599.892,23437.1767,8584.75,4509.1358,0.47268,0.12606,1.26775,1.890545,0.60052,0.96245,0.17654,0.32246,1.67341,1.72748,1.79738,0.052264,0.059738,0.087899
Indiana,IN,ONLINE,Online Gambling (iGaming & Sports Betting),32675,775.6505,23738.3463,3818.36,2005.5918,0.47268,0.12606,1.24259,1.70737,0.586835,0.85943,0.17054,0.27214,1.80088,2.26285,2.18224,0.052264,0.059095,0.082756
Iowa,IA,ONLINE,Online Gambling (iGaming & Sports Betting),16609,277.0336,16679.7285,1335.88,701.6703,0.47268,0.12606,1.253215,1.720205,0.591595,0.86776,0.17294,0.27846,2.6165,2.23647,2.09217,0.052264,0.059095,0.081856
Kansas,KS,ONLINE,Online Gambling (iGaming & Sports Betting),14003,261.4167,18668.6192,1213.71,637.5006,0.47268,0.12606,1.24667,1.818805,0.58964,0.92437,0.1723,0.30654,2.42802,2.16929,2.18279,0.052264,0.059031,0.085199
Kentucky,KY,ONLINE,Online Gambling (iGaming & Sports Betting),15306,246.637,16113.745,881.43,462.9707,0.47268,0.12606,1.243695,1.795515,0.587175,0.910005,0.1707,0.29366,3.65442,2.33581,2.19937,0.052264,0.059095,0.086742
Louisiana,LA,ONLINE,Online Gambling (iGaming & Sports Betting),21676,470.9168,21725.2636,1711.87,899.1589,0.47268,0.12606,1.24429,1.79662,0.58862,0.914935,0.17078,0.29286,2.66473,2.05811,2.0433,0.052264,0.059352,0.087578
