"State","Abbrev","Sector","Sector_Name","Employment","Total_Wages_M","Avg_Wage","Gambling_Employment_Actual","Gambling_Wages_M_Actual","Gambling_Avg_Wage_Actual","Industry_Output_M","VA_M","Direct_VA_Coef","Direct_Wage_Coef","Type_I_Output","Type_II_Output","Type_I_VA","Type_II_VA","Type_I_Wage","Type_II_Wage","Emp_Coef","Indirect_Emp_Coef","Induced_Emp_Coef"
"Alabama","AL","7132","Gambling Industries",18123,396.01411,21851.4655410252,185,6.099032,32967.7405405405,896.51,470.8914471752,0.52524952,0.22920282,1.285012,2.067612,0.65938968,1.12218168,0.28474818,0.47832018,34.2530536427409,10.7617,9.5267
"Alaska","AK","7132","Gambling Industries",3972,113.799944,28650.5397784491,0,0,NA,403.44,211.9066663488,0.52524952,0.22920282,1.297661,1.884702,0.66167768,1.00672568,0.28459618,0.42192818,16.6822500722145,8.9892,8.0029
"Arizona","AZ","7132","Gambling Industries",33078,949.099052,28692.758086946,301,24.83524,82509.1029900332,2529.93,1328.8445181336,0.52524952,0.22920282,1.299299,2.193374,0.66898168,1.20032568,0.28900418,0.50484418,22.1541494119632,9.7036,9.1147
"Arkansas","AR","7132","Gambling Industries",10016,270.202869,26977.1235023962,15,1.278599,85239.9333333333,559.67,293.9663988584,0.52524952,0.22920282,1.298389,1.963963,0.66475768,1.05662168,0.28786418,0.44708418,30.3240099365706,10.8161,10.1392
"California","CA","7132","Gambling Industries",220647,7573.149337,34322.4668225718,16192,892.18245,55100.2007164032,23533.56,12360.9910938912,0.52524952,0.22920282,1.354627,2.136499,0.69212568,1.14585368,0.29926418,0.48774418,15.8867382484442,6.9038,6.8617
"Colorado","CO","7132","Gambling Industries",47846,1570.64168,32827.0216946035,4931,321.524812,65204.7884810383,5581.91,2931.8955481832,0.52524952,0.22920282,1.313313,2.078987,0.67355768,1.12825368,0.29204418,0.47414018,14.5240303756344,8.4066,8.0017
"Connecticut","CT","7132","Gambling Industries",21004,703.8373,33509.6791087412,286,19.147383,66948.8916083916,2107.17,1106.7900310584,0.52524952,0.22920282,1.290927,1.941304,0.66484568,1.05010968,0.28771218,0.45286018,16.8898883034967,7.4282,7.1191
"Delaware","DE","7132","Gambling Industries",7599,205.68562,27067.4588761679,0,0,NA,547.47,287.5583547144,0.52524952,0.22920282,1.266357,1.833105,0.65111768,0.98956568,0.28239218,0.42299218,23.5190871317825,9.862,9.6056
"Florida","FL","7132","Gambling Industries",203141,7917.699809,38976.3750744557,3861,213.632672,55330.9173789174,17812.54,9356.0280849808,0.52524952,0.22920282,1.302666,2.38502,0.67118168,1.32132568,0.29098018,0.55052018,19.3239575980143,9.5061,8.9161
"Georgia","GA","7132","Gambling Industries",44092,1268.217332,28762.9804046085,0,0,NA,2869.49,1507.1982451448,0.52524952,0.22920282,1.297661,1.985985,0.66801368,1.07510168,0.28915618,0.45749618,26.0363095076653,8.9913,9.1447
